Const. No.,Constituency,Leading Candidate,Leading Party,Margin,Party Category,Status,Trailing Candidate,Trailing Party
34,Medinipur,JUNE MALIAH,All India Trinamool Congress,27191,Other,Result Declared,AGNIMITRA PAUL,Bharatiya Janata Party
34,Mohanlalganj,R.K. CHAUDHARY,Samajwadi Party,70292,Other,Result Declared,KAUSHAL KISHORE,Bharatiya Janata Party
34,Pune,MURLIDHAR MOHOL,Bharatiya Janata Party,123038,BJP,Result Declared,DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress
34,Sasaram,MANOJ KUMAR,Indian National Congress,19157,INC,Result Declared,SHIVESH KUMAR,Bharatiya Janata Party
34,VIRUDHUNAGAR,MANICKAM TAGORE B,Indian National Congress,4379,INC,Result Declared,VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam
35,Baramati,SUPRIYA SULE,Nationalist Congress Party – Sharadchandra Pawar,158333,Other,Result Declared,SUNETRA AJITDADA PAWAR,Nationalist Congress Party
35,Karakat,RAJA RAM SINGH,Communist Party of India (Marxist-Leninist) (Liberation),105858,Other,Result Declared,PAWAN SINGH,Independent
35,Lucknow,RAJ NATH SINGH,Bharatiya Janata Party,135159,BJP,Result Declared,RAVIDAS MEHROTRA,Samajwadi Party
35,Purulia,JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party,17079,BJP,Result Declared,SHANTIRAM MAHATO,All India Trinamool Congress
35,RAMANATHAPURAM,NAVASKANI K,Indian Union Muslim League,166782,Other,Result Declared,PANNEERSELVAM O S/O OTTAKARATHEVAR,Independent
36,Bankura,ARUP CHAKRABORTY,All India Trinamool Congress,32778,Other,Result Declared,DR. SUBHAS SARKAR,Bharatiya Janata Party
36,Jahanabad,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,142591,Other,Result Declared,CHANDESHWAR PRASAD,Janata Dal (United)
36,Rae Bareli,RAHUL GANDHI,Indian National Congress,390030,INC,Result Declared,DINESH PRATAP SINGH,Bharatiya Janata Party
36,Shirur,DR. AMOL RAMSING KOLHE,Nationalist Congress Party – Sharadchandra Pawar,140951,Other,Result Declared,ADHALRAO SHIVAJI DATTATREY,Nationalist Congress Party
36,THOOTHUKKUDI,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,392738,Other,Result Declared,SIVASAMY VELUMANI R,All India Anna Dravida Munnetra Kazhagam
37,Ahmednagar,NILESH DNYANDEV LANKE,Nationalist Congress Party – Sharadchandra Pawar,28929,Other,Result Declared,DR. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party
37,Amethi,KISHORI LAL,Indian National Congress,167196,INC,Result Declared,SMRITI IRANI,Bharatiya Janata Party
37,Aurangabad,ABHAY KUMAR SINHA,Rashtriya Janata Dal,79111,Other,Result Declared,SUSHIL KUMAR SINGH,Bharatiya Janata Party
37,Bishnupur,KHAN SAUMITRA,Bharatiya Janata Party,5567,BJP,Result Declared,SUJATA MONDAL,All India Trinamool Congress
